Langdistanz - 'Swim' |..T1...|..Bike..|Lunch|..T2...|..Run...|| Total(brutto)
96.LD(12.08.) 1:07h | 34m | 6:56h | 50m | 29m | 4:40h || 14:48h
97.LD(13.08.) 1:11h | 31m | 6:40h | 55m | 28m | 4:32h || 14:35h
98.LD(14.08.) 1:11h | 29m | 6:46h | 64m | 27m | 4:44h || 14:48h
99.LD(15.08.) 1:10h | 26m | 6:48h | 65m | 25m | 4:31h || 14:42h
100.LD(16.8.) 1:10h | 28m | 6:40h | 63m | 29m | 4:41h || 14:37h
---------------------------------------------------------------------------
101.LD(17.8.) 1:09h | 38m | 6:52h | 54m | 26m | 4:38h || 14:43h
102.LD(18.8.) 1:16h | 30m | 7:06h | 50m | 24m | 4:36h || 14:48h
103.LD(19.8.) 1:21h | 27m | 7:01h | 46m | 22m | 4:27h || 14:40h
104.LD(20.8.) 1:16h | 38m | 6:59h | 47m | 24m | 4:35h || 14:55h
105.LD(21.8.) 1:05h | 32m | 6:47h | 56m | 27m | 4:33h || 14:25h
106.LD(22.8.) 1:08h | 37m | 6:30h | 54m | ??m | ?:??h || ??:??h
107.LD(23.8.) 1:09h | 33m | 6:40h | 56m | ??m | ?:??h || ??:??h
108.LD(24.8.) ?:??h | ??m | 6:47h | 49m | 25m | 4:37h || ??:??h
109.LD(25.8.) 1:14h | 30m | 7:02h | 51m | 28m | 4:41h || 14:52h
110.LD(26.8.) 1:12h | 33m | 6:54h | 50m | 27m | 4:40h || 14:42h
111.LD(27.8.) 1:15h | 31m | 6:51h | 58m | 27m | 4:48h || 14:55h
112.LD(28.8.) 1:16h | 36m | 6:56h | 51m | 27m | 4:42h || 14:55h
113.LD(29.08.) 1:14h | 38m | 7:01h | 51m | 26m | 4:37h || 14:56h
114.LD(30.08.) 1:16h | 31m | 6:57h | 47m | 28m | 4:53h || 14:59h
115.LD(31.08.) 1:12h | 32m | 6:58h | 49m | 28m | 4:43h || 14:49h
116.LD(01.08.) 1:13h | 32m | 6:58h | 47m | 28m | 4:37h || 14:41h
117.LD(02.09.) 1:17h | 27m | 7:09h | 55m | 26m | 4:45h || 15:06h
118.LD(03.09.) 1:14h | 35m | 6:53h | 46m | 26m | 4:32h || 14:35h
